GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
evomaster-project-report/evomaster-client-java-util,org.evomaster.client.java.utils,SimpleLogger,38,59,5,7,17,17,10,9,7,6
evomaster-project-report/evomaster-client-java-util,org.evomaster.client.java.utils,SimpleLogger.Level,0,54,0,0,0,1,0,1,0,1
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.problem,RestProblem,4,20,1,1,0,6,1,3,0,3
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal,EMController,288,261,27,21,64,62,25,10,3,8
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal,SutController,68,221,5,5,21,61,6,16,2,15
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,ParserUtils,17,85,3,9,2,20,4,10,1,7
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,SchemaExtractor,248,409,36,30,38,100,29,19,7,8
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,SqlNameContext.new FromItemVisitorAdapter() {...},0,16,0,0,0,3,0,2,0,2
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,SelectHeuristics,30,165,5,19,4,50,6,14,1,7
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,HeuristicsCalculator,96,519,23,109,22,118,21,60,1,14
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,SqlHandler,104,304,11,29,21,82,10,21,1,10
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,SelectHeuristics.new ExpressionVisitorAdapter() {...},0,52,0,6,0,15,0,5,0,2
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,ColumnTableAnalyzer,114,166,12,18,11,49,13,10,1,7
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,StandardOutputTracker,5,98,2,4,1,30,2,8,0,7
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,SqlNameContext,63,168,12,18,15,44,12,13,2,8
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,SqlNameContext.AliasVisitor,5,11,0,0,2,5,1,2,1,2
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db,SqlHandler.new ExpressionVisitorAdapter() {...},1,40,1,1,1,8,1,2,0,2
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db.constraint,H2ConstraintExtractor,12,204,2,14,3,45,3,11,1,4
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db.constraint,DbTableCheckExpression,0,12,0,0,0,4,0,2,0,2
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db.constraint,DbTableUniqueConstraint,0,16,0,0,0,5,0,2,0,2
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db.constraint,PostgresConstraintExtractor,202,0,14,0,43,0,13,0,4,0
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db.constraint,DbTableConstraint,0,11,0,0,0,4,0,2,0,2
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db.constraint,TableConstraintExtractor,0,3,0,0,0,1,0,1,0,1
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.internal.db.constraint,TableConstraintExtractorFactory,18,9,3,1,3,2,3,1,0,1
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.contentMatchers,NumberMatcher,49,0,8,0,11,0,9,0,5,0
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.expect,ExpectationHandler,51,0,10,0,15,0,11,0,6,0
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller,ExternalSutController,640,0,88,0,157,0,63,0,19,0
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller,AuthUtils,65,0,0,0,12,0,4,0,4,0
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller,EmbeddedSutController,2,15,0,0,1,9,1,6,1,6
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller,InstrumentedSutStarter,23,46,5,3,6,15,4,5,0,5
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.db.dsl,SqlDsl,44,155,10,14,6,36,10,14,0,12
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.db.dsl,SequenceDsl,0,5,0,0,0,1,0,1,0,1
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.db,DbCleaner,54,270,2,22,16,55,7,17,5,7
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.db,DataRow,40,192,9,23,3,38,10,16,2,8
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.db,SqlScriptRunner,163,449,20,48,25,110,20,30,2,14
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.db,VariableDescriptor,95,85,24,14,10,16,20,7,3,5
evomaster-project-report/evomaster-client-java-controller,org.evomaster.client.java.controller.db,QueryResult,63,194,5,15,13,43,8,14,4,8
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.problem,RestProblemDto,0,3,0,0,0,1,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.operations,InsertionDto,0,8,0,0,0,2,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.operations,InsertionEntryDto,0,3,0,0,0,1,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.operations,DatabaseCommandDto,0,8,0,0,0,2,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.operations,QueryResultDto,0,8,0,0,0,2,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.operations,DataRowDto,0,8,0,0,0,2,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,WrappedResponseDto,20,16,2,0,6,5,2,3,1,3
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,HeaderDto,12,0,0,0,6,0,2,0,2,0
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,ExtraHeuristicDto,0,13,0,0,0,3,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,TargetInfoDto,3,0,0,0,1,0,1,0,1,0
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,SutRunDto,0,12,0,0,0,6,0,2,0,2
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,SutInfoDto.OutputFormat,0,44,0,0,0,5,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,AdditionalInfoDto,0,13,0,0,0,3,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,AuthenticationDto,19,0,0,0,6,0,2,0,2,0
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,ControllerInfoDto,3,0,0,0,1,0,1,0,1,0
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,TestResultsDto,0,18,0,0,0,4,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto,SutInfoDto,0,3,0,0,0,1,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.schema,DbSchemaDto,0,8,0,0,0,2,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.schema,ForeignKeyDto,0,8,0,0,0,2,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.schema,TableDto,0,23,0,0,0,5,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.schema,TableCheckExpressionDto,0,3,0,0,0,1,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.schema,DatabaseType,0,44,0,0,0,5,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.schema,ColumnDto,0,6,0,0,0,2,0,1,0,1
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api,Formats,3,0,0,0,1,0,1,0,1,0
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api,EMTestUtils,12,119,1,11,5,35,2,7,1,2
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api,ControllerConstants,3,0,0,0,1,0,1,0,1,0
evomaster-project-report/evomaster-client-java-controller-api,org.evomaster.client.java.controller.api.dto.database.execution,ExecutionDto,0,28,0,0,0,6,0,1,0,1
evomaster-project-report/evomaster-client-database-spy,org.evomaster.client.java.databasespy,P6SpyFormatter,15,34,8,6,2,6,7,2,0,2
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,ClassScanner,312,0,36,0,73,0,31,0,13,0
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,Constants,5,10,2,2,1,1,3,1,1,1
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,InstrumentingClassLoader,29,151,5,9,5,35,5,7,0,5
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,InstrumentingAgent.TransformerForTests,18,0,2,0,4,0,2,0,1,0
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,TargetInfo,42,15,2,0,5,6,4,1,3,1
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,ClassesToExclude,21,83,3,11,7,25,4,8,2,3
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,InstrumentingAgent,166,0,6,0,47,0,12,0,9,0
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,AdditionalInfo,0,43,4,4,0,11,4,5,0,5
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,ComputeClassWriter,297,9,36,0,65,3,22,1,4,1
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,Instrumentator,18,111,3,5,2,31,3,8,0,7
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,InstrumentationController,80,0,2,0,26,0,9,0,8,0
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,ObjectiveNaming,41,126,6,6,7,19,5,7,1,5
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation,ClassName,48,78,3,7,4,18,4,9,1,7
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.tracker,TrackerMethodVisitor,0,96,5,13,0,23,5,8,0,4
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.tracker,TrackerClassVisitor,4,35,2,2,2,8,2,2,0,2
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.tracker,Tracker,3,8,0,0,1,4,1,2,1,2
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.external,ServerController,305,0,34,0,96,0,33,0,16,0
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.external,AgentController,233,0,14,0,73,0,16,0,7,0
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.external,JarAgentLocator,364,0,64,0,98,0,40,0,8,0
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.external,Command,64,0,0,0,2,0,1,0,1,0
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.staticstate,ExecutionTracer,52,242,6,16,13,56,10,26,5,20
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.staticstate,ObjectiveRecorder,122,188,12,18,26,47,16,14,7,8
evomaster-project-report/evomaster-client-java-instrumentation,org.evomaster.client.java.instrumentation.coverage,BranchCovMethodVisitor,69,138,3,4,20,41,3,6,0,4
